PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SILENCE,,, 
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_A_PHONETIC,,,alpha
PROMPT_B_PHONETIC,,,bravo
PROMPT_C_PHONETIC,,,charlie
PROMPT_D_PHONETIC,,,delta
PROMPT_E_PHONETIC,,,echo
PROMPT_F_PHONETIC,,,foxtrot
PROMPT_G_PHONETIC,,,golf
PROMPT_H_PHONETIC,,,hotel
PROMPT_I_PHONETIC,,,india
PROMPT_J_PHONETIC,,,juliet
PROMPT_K_PHONETIC,,,kilo
PROMPT_L_PHONETIC,,,lema
PROMPT_M_PHONETIC,,,mike
PROMPT_N_PHONETIC,,,november
PROMPT_O_PHONETIC,,,oscar
PROMPT_P_PHONETIC,,,papa
PROMPT_Q_PHONETIC,,,quebec
PROMPT_R_PHONETIC,,,romeo
PROMPT_S_PHONETIC,,,siera
PROMPT_T_PHONETIC,,,tango
PROMPT_U_PHONETIC,,,uniform
PROMPT_V_PHONETIC,,,victor
PROMPT_W_PHONETIC,,,whisky
PROMPT_X_PHONETIC,,,exray
PROMPT_Y_PHONETIC,,,yankie
PROMPT_Z_PHONETIC,,,zulu
PROMPT_CAP,,,cap 
PROMPT_HERTZ,,,hertz
PROMPT_KILOHERTZ,,,Kilohertz
PROMPT_MEGAHERTZ,,,Megahertz
PROMPT_CHANNEL,,,Channel
PROMPT_VFO,,,V F O
PROMPT_MILLISECONDS,,,Milliseconds
PROMPT_SECONDS,,,Seconds
PROMPT_MINUTES,,,Minutes
PROMPT_VOLTS,,,Volts
PROMPT_MILLIWATTS,,,Milliwatts
PROMPT_WATT,,,Wattt
PROMPT_WATTS,,,Watts
PROMPT_RECEIVE,,,Receive
PROMPT_TRANSMIT,,,Transmit
PROMPT_MODE,,,Mode
PROMPT_BANDWIDTH,,,bandwidth
PROMPT_POWER,,,power
PROMPT_SQUELCH,,,squelch
PROMPT_SOURCE_ID,,,Source ID
PROMPT_DEST_ID,,,Destination ID
PROMPT_DMR_ID,,,D M R ID
PROMPT_TALKGROUP,,,Talk group
PROMPT_TIMESLOT,,,timeslot
PROMPT_COLORCODE,,,color code
PROMPT_TONE,,,tone
PROMPT_CONTACT,,,contact
PROMPT_CHARACTER,,,character
PROMPT_SPACE,,,space
PROMPT_PERCENT,,,Percent
PROMPT_POINT,,,POINT
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Minus
PROMPT_STAR,,,Star
PROMPT_HASH,,,Hash
PROMPT_EXCLAIM,,,exclaim
PROMPT_COMMA,,,comma
PROMPT_AT,,,at
PROMPT_COLON,,,colon
PROMPT_QUESTION,,,question
PROMPT_LEFT_PAREN,,,left paren
PROMPT_RIGHT_PAREN,,,right paren
PROMPT_TILDE,,,tilde
PROMPT_SLASH,,,slash
PROMPT_LEFT_BRACKET,,,left bracket
PROMPT_RIGHT_BRACKET,,,right bracket
PROMPT_LESS,,,less
PROMPT_GREATER,,,greater
PROMPT_EQUALS,,,equals
PROMPT_DOLLAR,,,dollar
PROMPT_APOSTROPHE,,,apostrophe
PROMPT_GRAVE,,,grave
PROMPT_AMPERSAND,,,and
PROMPT_BAR,,,bar
PROMPT_UNDERLINE,,,underline
PROMPT_CARET,,,caret
PROMPT_LEFT_BRACE,,,left brace
PROMPT_RIGHT_BRACE,,,right brace
PROMPT_CUSTOM1,,,Hotspot
PROMPT_CUSTOM2,,,Clear Node
PROMPT_CUSTOM3,,,ShariNode
PROMPT_CUSTOM4,,,MicroHub
PROMPT_CUSTOM5,,,Openspot
PROMPT_CUSTOM6,,,repeater
PROMPT_CUSTOM7,,,BlindHams
PROMPT_CUSTOM8,,,Allstar
PROMPT_CUSTOM9,,,Parrot
PROMPT_CUSTOM10,,, 
LANGUAGE_NAME,,,English
off,,,Off
on,,,On
zone,,,Zone
channels,,,Channels
contacts,,,Contacts
gps,,,GPS
settings,,,Settings
backupAndRestore,,,Backup and Restore
info,,,Info
about,,,About
display,,,Display
timeAndDate,,,Time and Date
fm,,,F M
m17,,,M17
dmr,,,D M R
defaultSettings,,,Default Settings
brightness,,,Brightness
contrast,,,Contrast
timer,,,Timer
gpsEnabled,,,GPS Enabled
gpsSetTime,,,GPS Set Time
UTCTimeZone,,,UTC Timezone
voice,,,Voice
level,,,Level
phonetic,,,Phonetic spell
beep,,,beep
backup,,,Backup
restore,,,Restore
batteryVoltage,,,Batterty Voltage
batteryCharge,,,Battery Charge
RSSI,,,RSSI
model,,,Model
band,,,Band
VHF,,,V H F
UHF,,,U H F
LCDType,,,L C D Type
Niccolo,,,Niccolo' IU2KIN
Silvano,,,Silvano IU2KWO
Federico,,,Federico IU2NUO
Fred,,,Fred IU2NRO
Joseph,,,Joseph VK7JS
allChannels,,,All channels
menu,,,Menu
gpsOff,,,GPS Off
noFix,,,No fix
fixLost,,,Fix lost
error,,,Error
flashBackup,,,Flash backup
connectToRTXTool,,,Connect to RTXTool 
toBackupFlashAnd,,,to backup Flash and
pressPTTToStart,,,press PTT to start.
flashRestore,,,Flash restore
toRestoreFlashAnd,,,to restore flash and
openRTX,,,Open R T X
gpsSettings,,,GPS Settings
m17settings,,,M17 Settings
callsign,,,Callsign
resetToDefaults,,,Reset to Defaults
toReset,,,To reset
pressEnterTwice,,,Press Enter twice.
macroMenu,,,Macro Menu
forEmergencyUse,,,For emergency use
pressAnyButton,,,press any button.